Target	Uniprot	GeneName	GeneID	Description
IL-1 RII	P27930	IL1R2 IL1RB	7850	Interleukin-1 receptor type 2 (IL-1R-2) (IL-1RT-2) (IL-1RT2) (CD121 antigen-like family member B) (CDw121b) (IL-1 type II receptor) (Interleukin-1 receptor beta) (IL-1R-beta) (Interleukin-1 receptor type II) (CD antigen CD121b) [Cleaved into: Interleukin-1 receptor type 2, membrane form (mIL-1R2) (mIL-1RII); Interleukin-1 receptor type 2, soluble form (sIL-1R2) (sIL-1RII)]
IL-3	P08700	IL3	3562	Interleukin-3 (IL-3) (Hematopoietic growth factor) (Mast cell growth factor) (MCGF) (Multipotential colony-stimulating factor) (P-cell-stimulating factor)
IL-18 Rb	O95256	IL18RAP IL1R7	8807	Interleukin-18 receptor accessory protein (IL-18 receptor accessory protein) (IL-18RAcP) (Accessory protein-like) (AcPL) (CD218 antigen-like family member B) (CDw218b) (IL-1R accessory protein-like) (IL-1RAcPL) (Interleukin-1 receptor 7) (IL-1R-7) (IL-1R7) (Interleukin-18 receptor accessory protein-like) (Interleukin-18 receptor beta) (IL-18R-beta) (IL-18Rbeta) (CD antigen CD218b)
IL-21	Q9HBE4	IL21	59067	Interleukin-21 (IL-21) (Za11)
Leptin	P41159	LEP OB OBS	3952	Leptin (Obese protein) (Obesity factor)
MMP-1	P03956	MMP1 CLG	4312	Interstitial collagenase (EC 3.4.24.7) (Fibroblast collagenase) (Matrix metalloproteinase-1) (MMP-1) [Cleaved into: 22 kDa interstitial collagenase; 27 kDa interstitial collagenase]
MMP-2	P08253	MMP2 CLG4A	4313	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX]
MMP-3	P08254	MMP3 STMY1	4314	Stromelysin-1 (SL-1) (EC 3.4.24.17) (Matrix metalloproteinase-3) (MMP-3) (Transin-1)
MMP-8	P22894	MMP8 CLG1	4317	Neutrophil collagenase (EC 3.4.24.34) (Matrix metalloproteinase-8) (MMP-8) (PMNL collagenase) (PMNL-CL)
MMP-9	P14780	MMP9 CLG4B	4318	Matrix metalloproteinase-9 (MMP-9) (EC 3.4.24.35) (92 kDa gelatinase) (92 kDa type IV collagenase) (Gelatinase B) (GELB) [Cleaved into: 67 kDa matrix metalloproteinase-9; 82 kDa matrix metalloproteinase-9]
MMP-10	P09238	MMP10 STMY2	4319	Stromelysin-2 (SL-2) (EC 3.4.24.22) (Matrix metalloproteinase-10) (MMP-10) (Transin-2)
MMP-13	P45452	MMP13	4322	Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13)
NCAM-1	P13591	NCAM1 NCAM	4684	Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56)
Nidogen-1	P14543	NID1 NID	4811	Nidogen-1 (NID-1) (Entactin)
NSE	P09104	ENO2	2026	Gamma-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 2) (Neural enolase) (Neuron-specific enolase) (NSE)
OSM	P13725	OSM	5008	Oncostatin-M (OSM)
Procalcitonin	P01258	CALCA CALC1	796	Procalcitonin (PCT) is a 116 amino acid precursor of calcitonin (CT). PCT is processed to an N-terminal 57 amino acid peptide (CT [32 amino acids] and a 21 amino acid C-terminal peptide, catacalcin [CCP-1]).
Prolactin	P01236	PRL	5617	Prolactin (PRL)
PSA-free	P07288	KLK3 APS	354	Prostate-specific antigen (PSA) (EC 3.4.21.77) (Gamma-seminoprotein) (Seminin) (Kallikrein-3) (P-30 antigen) (Semenogelase); Most PSA in the blood is bound to serum proteins. A small amount is not protein bound and is called 'free PSA'.
Siglec-9	Q9Y336	SIGLEC9 UNQ668/PRO1302	27180	Sialic acid-binding Ig-like lectin 9 (Siglec-9) (CDw329) (Protein FOAP-9) (CD antigen CD329)
TACE	P78536	ADAM17 CSVP TACE	6868	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)
Thyroglobulin	P01266	TG	7038	Thyroglobulin (Tg)
TIMP-4	Q99727	TIMP4	7079	Metalloproteinase inhibitor 4 (Tissue inhibitor of metalloproteinases 4) (TIMP-4)
TSH	P01222/P01215	TSHB/CGA	7252	Thyrotropin subunit beta (Thyroid-stimulating hormone subunit beta) (TSH-B) (TSH-beta) (Thyrotropin beta chain) (Thyrotropin alfa); Glycoprotein hormones alpha chain (Anterior pituitary glycoprotein hormones common subunit alpha) (Choriogonadotropin alpha chain) (Chorionic gonadotrophin subunit alpha) (CG-alpha) (Follicle-stimulating hormone alpha chain) (FSH-alpha) (Follitropin alpha chain) (Luteinizing hormone alpha chain) (LSH-alpha) (Lutropin alpha chain) (Thyroid-stimulating hormone alpha chain) (TSH-alpha) (Thyrotropin alpha chain)
TSH	P01222/P01215	TSHB/CGA	1081	Thyrotropin subunit beta (Thyroid-stimulating hormone subunit beta) (TSH-B) (TSH-beta) (Thyrotropin beta chain) (Thyrotropin alfa); Glycoprotein hormones alpha chain (Anterior pituitary glycoprotein hormones common subunit alpha) (Choriogonadotropin alpha chain) (Chorionic gonadotrophin subunit alpha) (CG-alpha) (Follicle-stimulating hormone alpha chain) (FSH-alpha) (Follitropin alpha chain) (Luteinizing hormone alpha chain) (LSH-alpha) (Lutropin alpha chain) (Thyroid-stimulating hormone alpha chain) (TSH-alpha) (Thyrotropin alpha chain)
2B4	Q9BZW8	CD244 2B4	51744	Natural killer cell receptor 2B4 (NK cell activation-inducing ligand) (NAIL) (NK cell type I receptor protein 2B4) (NKR2B4) (h2B4) (SLAM family member 4) (SLAMF4) (Signaling lymphocytic activation molecule 4) (CD antigen CD244)
ADAM9	Q13443	ADAM9 KIAA0021 MCMP MDC9 MLTNG	8754	Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9) (EC 3.4.24.-) (Cellular disintegrin-related protein) (Meltrin-gamma) (Metalloprotease/disintegrin/cysteine-rich protein 9) (Myeloma cell metalloproteinase)
ANG-2	O15123	ANGPT2	285	Angiopoietin-2 (ANG-2)
APRIL	O75888	TNFSF13 APRIL TALL2 ZTNF2 UNQ383/PRO715	8741	Tumor necrosis factor ligand superfamily member 13 (A proliferation-inducing ligand) (APRIL) (TNF- and APOL-related leukocyte expressed ligand 2) (TALL-2) (TNF-related death ligand 1) (TRDL-1) (CD antigen CD256)
BMP-2	P12643	BMP2 BMP2A	650	Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A)
BMP-9	Q9UK05	GDF2 BMP9	2658	Growth/differentiation factor 2 (GDF-2) (Bone morphogenetic protein 9) (BMP-9)
C5a	P01031	C5 CPAMD4	727	Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]
Cathepsin L	P07711	CTSL CTSL1	1514	Cathepsin L1 (EC 3.4.22.15) (Cathepsin L) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L1 heavy chain; Cathepsin L1 light chain]
CD200	P41217	CD200 MOX1 MOX2 My033	4345	OX-2 membrane glycoprotein (CD antigen CD200)
CD97	P48960	CD97	976	CD97 antigen (Leukocyte antigen CD97) (CD antigen CD97) [Cleaved into: CD97 antigen subunit alpha; CD97 antigen subunit beta]
Chemerin	Q99969	RARRES2 TIG2	5919	Retinoic acid receptor responder protein 2 (Chemerin) (RAR-responsive protein TIG2) (Tazarotene-induced gene 2 protein)
DcR3	O95407	TNFRSF6B DCR3 TR6 UNQ186/PRO212	8771	Tumor necrosis factor receptor superfamily member 6B (Decoy receptor 3) (DcR3) (Decoy receptor for Fas ligand) (M68)
FABP2	P12104	FABP2 FABPI	2169	Fatty acid-binding protein, intestinal (Fatty acid-binding protein 2) (Intestinal-type fatty acid-binding protein) (I-FABP)
FAP	Q12884	FAP	2191	Prolyl endopeptidase FAP (EC 3.4.21.26) (170 kDa melanoma membrane-bound gelatinase) (Dipeptidyl peptidase FAP) (EC 3.4.14.5) (Fibroblast activation protein alpha) (FAPalpha) (Gelatine degradation protease FAP) (EC 3.4.21.-) (Integral membrane serine protease) (Post-proline cleaving enzyme) (Serine integral membrane protease) (SIMP) (Surface-expressed protease) (Seprase) [Cleaved into: Antiplasmin-cleaving enzyme FAP, soluble form (APCE) (EC 3.4.14.5) (EC 3.4.21.-) (EC 3.4.21.26)]
FGF-19	O95750	FGF19 UNQ334/PRO533	9965	Fibroblast growth factor 19 (FGF-19)
Galectin-3	P17931	LGALS3 MAC2	3958	Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (Galactoside-binding protein) (GALBP) (IgE-binding protein) (L-31) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen)
HGF R	P08581	MET	4233	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)
IFNab R2	P48551	IFNAR2 IFNABR IFNARB	3455	Interferon alpha/beta receptor 2 (IFN-R-2) (IFN-alpha binding protein) (IFN-alpha/beta receptor 2) (Interferon alpha binding protein) (Type I interferon receptor 2)
IGF-2	P01344	IGF2 PP1446	3481	Insulin-like growth factor II (IGF-II) (Somatomedin-A) (T3M-11-derived growth factor) [Cleaved into: Insulin-like growth factor II; Insulin-like growth factor II Ala-25 Del; Preptin]
IGF-2R	P11717	IGF2R MPRI	3482	Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222)
IL-1 R6	Q9HB29	IL1RL2 IL1RRP2	8808	Interleukin-1 receptor-like 2 (IL-36 receptor) (IL-36R) (Interleukin-1 receptor-related protein 2) (IL-1Rrp2) (IL1R-rp2)
IL-24	Q13007	IL24 MDA7 ST16	11009	Interleukin-24 (IL-24) (Melanoma differentiation-associated gene 7 protein) (MDA-7) (Suppression of tumorigenicity 16 protein)
IL-33	O95760	IL33 C9orf26 IL1F11 NFHEV	90865	Interleukin-33 (IL-33) (Interleukin-1 family member 11) (IL-1F11) (Nuclear factor from high endothelial venules) (NF-HEV) [Cleaved into: Interleukin-33 (95-270); Interleukin-33 (99-270); Interleukin-33 (109-270)]
Kallikrein 14	Q9P0G3	KLK14 KLKL6	43847	Kallikrein-14 (hK14) (EC 3.4.21.-) (Kallikrein-like protein 6) (KLK-L6)
Legumain	Q99538	LGMN PRSC1	5641	Legumain (EC 3.4.22.34) (Asparaginyl endopeptidase) (Protease, cysteine 1)
LOX-1	P78380	OLR1 CLEC8A LOX1	4973	Oxidized low-density lipoprotein receptor 1 (Ox-LDL receptor 1) (C-type lectin domain family 8 member A) (Lectin-like oxidized LDL receptor 1) (LOX-1) (Lectin-like oxLDL receptor 1) (hLOX-1) (Lectin-type oxidized LDL receptor 1) [Cleaved into: Oxidized low-density lipoprotein receptor 1, soluble form]
MBL	P11226	MBL2 COLEC1 MBL	4153	Mannose-binding protein C (MBP-C) (Collectin-1) (MBP1) (Mannan-binding protein) (Mannose-binding lectin)
Neprilysin	P08473	MME EPN	4311	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)
Notch-1	P46531	NOTCH1 TAN1	4851	Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]
NOV	P48745	NOV CCN3 IGFBP9 NOVH	4856	Protein NOV homolog (NovH) (CCN family member 3) (Insulin-like growth factor-binding protein 9) (IBP-9) (IGF-binding protein 9) (IGFBP-9) (Nephroblastoma-overexpressed gene protein homolog)
Osteoactivin	Q14956	GPNMB HGFIN NMB UNQ1725/PRO9925	10457	Transmembrane glycoprotein NMB (Transmembrane glycoprotein HGFIN)
PD-1	Q15116	PDCD1 PD1	5133	Programmed cell death protein 1 (Protein PD-1) (hPD-1) (CD antigen CD279)
PGRP-S	O75594	PGLYRP1 PGLYRP PGRP TNFSF3L SBBI68 UNQ639/PRO1269	8993	Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S)
Serpin A4	P29622	SERPINA4 KST PI4	5267	Kallistatin (Kallikrein inhibitor) (Peptidase inhibitor 4) (PI-4) (Serpin A4)
sFRP-3	Q92765	FRZB FIZ FRE FRP FRZB1 SFRP3	2487	Secreted frizzled-related protein 3 (sFRP-3) (Frezzled) (Fritz) (Frizzled-related protein 1) (FrzB-1)
Thrombomodulin	P07204	THBD THRM	7056	Thrombomodulin (TM) (Fetomodulin) (CD antigen CD141)
TLR2	O60603	TLR2 TIL4	7097	Toll-like receptor 2 (Toll/interleukin-1 receptor-like protein 4) (CD antigen CD282)
TRAIL R1	O00220	TNFRSF10A APO2 DR4 TRAILR1	8797	Tumor necrosis factor receptor superfamily member 10A (Death receptor 4) (TNF-related apoptosis-inducing ligand receptor 1) (TRAIL receptor 1) (TRAIL-R1) (CD antigen CD261)
Transferrin	P02787	TF PRO1400	7018	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)
WIF-1	Q9Y5W5	WIF1 UNQ191/PRO217	11197	Wnt inhibitory factor 1 (WIF-1)
AR	P15514	AREG AREGB SDGF	374	Amphiregulin (AR) (Colorectum cell-derived growth factor) (CRDGF)
BDNF	P23560	BDNF	627	Brain-derived neurotrophic factor (BDNF) (Abrineurin)
bFGF	P09038	FGF2 FGFB	2247	Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2)
BMP-4	P12644	BMP4 BMP2B DVR4	652	Bone morphogenetic protein 4 (BMP-4) (Bone morphogenetic protein 2B) (BMP-2B)
BMP-5	P22003	BMP5	653	Bone morphogenetic protein 5 (BMP-5)
BMP-7	P18075	BMP7 OP1	655	Bone morphogenetic protein 7 (BMP-7) (Osteogenic protein 1) (OP-1) (Eptotermin alfa)
b-NGF	P01138	NGF NGFB	4803	Beta-nerve growth factor (Beta-NGF)
EGF	P01133	EGF	1950	Pro-epidermal growth factor (EGF) [Cleaved into: Epidermal growth factor (Urogastrone)]
EGF R	P00533	EGFR ERBB ERBB1 HER1	1956	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)
EG-VEGF	P58294	PROK1 UNQ600/PRO1186	84432	Prokineticin-1 (Endocrine-gland-derived vascular endothelial growth factor) (EG-VEGF) (Mambakine)
FGF-4	P08620	FGF4 HST HSTF1 KS3	2249	Fibroblast growth factor 4 (FGF-4) (Heparin secretory-transforming protein 1) (HST) (HST-1) (HSTF-1) (Heparin-binding growth factor 4) (HBGF-4) (Transforming protein KS3)
FGF-7	P21781	FGF7 KGF	2252	Fibroblast growth factor 7 (FGF-7) (Heparin-binding growth factor 7) (HBGF-7) (Keratinocyte growth factor)
GDF-15	Q99988	GDF15 MIC1 PDF PLAB PTGFB	9518	Growth/differentiation factor 15 (GDF-15) (Macrophage inhibitory cytokine 1) (MIC-1) (NSAID-activated gene 1 protein) (NAG-1) (NSAID-regulated gene 1 protein) (NRG-1) (Placental TGF-beta) (Placental bone morphogenetic protein) (Prostate differentiation factor)
GDNF	P39905	GDNF	2668	Glial cell line-derived neurotrophic factor (hGDNF) (Astrocyte-derived trophic factor) (ATF)
GH	P01241	GH1	2688	Somatotropin (Growth hormone) (GH) (GH-N) (Growth hormone 1) (Pituitary growth hormone)
HB-EGF	Q99075	HBEGF DTR DTS HEGFL	1839	Proheparin-binding EGF-like growth factor [Cleaved into: Heparin-binding EGF-like growth factor (HB-EGF) (HBEGF) (Diphtheria toxin receptor) (DT-R)]
HGF	P14210	HGF HPTA	3082	Hepatocyte growth factor (Hepatopoietin-A) (Scatter factor) (SF) [Cleaved into: Hepatocyte growth factor alpha chain; Hepatocyte growth factor beta chain]
IGFBP-1	P08833	IGFBP1 IBP1	3484	Insulin-like growth factor-binding protein 1 (IBP-1) (IGF-binding protein 1) (IGFBP-1) (Placental protein 12) (PP12)
IGFBP-2	P18065	IGFBP2 BP2 IBP2	3485	Insulin-like growth factor-binding protein 2 (IBP-2) (IGF-binding protein 2) (IGFBP-2)
IGFBP-3	P17936	IGFBP3 IBP3	3486	Insulin-like growth factor-binding protein 3 (IBP-3) (IGF-binding protein 3) (IGFBP-3)
IGFBP-4	P22692	IGFBP4 IBP4	3487	Insulin-like growth factor-binding protein 4 (IBP-4) (IGF-binding protein 4) (IGFBP-4)
IGFBP-6	P24592	IGFBP6 IBP6	3489	Insulin-like growth factor-binding protein 6 (IBP-6) (IGF-binding protein 6) (IGFBP-6)
IGF-1	P05019	IGF1 IBP1	3479	Insulin-like growth factor I (IGF-I) (Mechano growth factor) (MGF) (Somatomedin-C)
Insulin	P01308	INS	3630	Insulin [Cleaved into: Insulin B chain; Insulin A chain]
MCSF R	P07333	CSF1R FMS	1436	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)
NGF R	P08138	NGFR TNFRSF16	4804	Tumor necrosis factor receptor superfamily member 16 (Gp80-LNGFR) (Low affinity neurotrophin receptor p75NTR) (Low-affinity nerve growth factor receptor) (NGF receptor) (p75 ICD) (CD antigen CD271)
NT-3	P20783	NTF3	4908	Neurotrophin-3 (NT-3) (HDNF) (Nerve growth factor 2) (NGF-2) (Neurotrophic factor)
NT-4	P34130	NTF4 NTF5	4909	Neurotrophin-4 (NT-4) (Neurotrophin-5) (NT-5) (Neutrophic factor 4)
OPG	O00300	TNFRSF11B OCIF OPG	4982	Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin)
PDGF-AA	P04085	PDGFA PDGF1	5154	Platelet-derived growth factor subunit A (PDGF subunit A) (PDGF-1) (Platelet-derived growth factor A chain) (Platelet-derived growth factor alpha polypeptide)
PIGF	P49763	PGF PGFL PLGF	5228	Placenta growth factor (PlGF)
SCF	P21583	KITLG MGF SCF	4254	Kit ligand (Mast cell growth factor) (MGF) (Stem cell factor) (SCF) (c-Kit ligand) [Cleaved into: Soluble KIT ligand (sKITLG)]
SCF R	P10721	KIT SCFR	3815	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)
TGFa	P01135	TGFA	7039	Protransforming growth factor alpha [Cleaved into: Transforming growth factor alpha (TGF-alpha) (EGF-like TGF) (ETGF) (TGF type 1)]
TGFb1	P01137	TGFB1 TGFB	7040	Transforming growth factor beta-1 (TGF-beta-1) [Cleaved into: Latency-associated peptide (LAP)]
TGFb3	P10600	TGFB3	7043	Transforming growth factor beta-3 (TGF-beta-3) [Cleaved into: Latency-associated peptide (LAP)]
VEGF	P15692	VEGFA VEGF	7422	Vascular endothelial growth factor A (VEGF-A) (Vascular permeability factor) (VPF)
VEGF R2	P35968	KDR FLK1 VEGFR2	3791	Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor) (KDR) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309)
VEGF R3	P35916	FLT4 VEGFR3	2324	Vascular endothelial growth factor receptor 3 (VEGFR-3) (EC 2.7.10.1) (Fms-like tyrosine kinase 4) (FLT-4) (Tyrosine-protein kinase receptor FLT4)
VEGF-D	O43915	FIGF VEGFD	2277	Vascular endothelial growth factor D (VEGF-D) (c-Fos-induced growth factor) (FIGF)
BLC	O43927	CXCL13 BCA1 BLC SCYB13	10563	C-X-C motif chemokine 13 (Angie) (B cell-attracting chemokine 1) (BCA-1) (B lymphocyte chemoattractant) (CXC chemokine BLC) (Small-inducible cytokine B13)
Eotaxin	P51671	CCL11 SCYA11	6356	Eotaxin (C-C motif chemokine 11) (Eosinophil chemotactic protein) (Small-inducible cytokine A11)
Eotaxin-2	O00175	CCL24 MPIF2 SCYA24	6369	C-C motif chemokine 24 (CK-beta-6) (Eosinophil chemotactic protein 2) (Eotaxin-2) (Myeloid progenitor inhibitory factor 2) (MPIF-2) (Small-inducible cytokine A24)
G-CSF	P09919	CSF3 C17orf33 GCSF	1440	Granulocyte colony-stimulating factor (G-CSF) (Pluripoietin) (Filgrastim) (Lenograstim)
GM-CSF	P04141	CSF2 GMCSF	1437	Granulocyte-macrophage colony-stimulating factor (GM-CSF) (Colony-stimulating factor) (CSF) (Molgramostin) (Sargramostim)
I-309	P22362	CCL1 SCYA1	6346	C-C motif chemokine 1 (Small-inducible cytokine A1) (T lymphocyte-secreted protein I-309)
ICAM-1	P05362	ICAM1	3383	Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54)
IFNg	P01579	IFNG	3458	Interferon gamma (IFN-gamma) (Immune interferon)
IL-1a	P01583	IL1A IL1F1	3552	Interleukin-1 alpha (IL-1 alpha) (Hematopoietin-1)
IL-1b	P01584	IL1B IL1F2	3553	Interleukin-1 beta (IL-1 beta) (Catabolin)
IL-1ra	P18510	IL1RN IL1F3 IL1RA	3557	Interleukin-1 receptor antagonist protein (IL-1RN) (IL-1ra) (IRAP) (ICIL-1RA) (IL1 inhibitor) (Anakinra)
IL-2	P60568	IL2	3558	Interleukin-2 (IL-2) (T-cell growth factor) (TCGF) (Aldesleukin)
IL-4	P05112	IL4	3565	Interleukin-4 (IL-4) (B-cell stimulatory factor 1) (BSF-1) (Binetrakin) (Lymphocyte stimulatory factor 1) (Pitrakinra)
IL-5	P05113	IL5	3567	Interleukin-5 (IL-5) (B-cell differentiation factor I) (Eosinophil differentiation factor) (T-cell replacing factor) (TRF)
IL-6	P05231	IL6 IFNB2	3569	Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2)
IL-6R	P08887	IL6R	3570	Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126)
IL-7	P13232	IL7	3574	Interleukin-7 (IL-7)
IL-8	P10145	CXCL8 IL8	3576	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8) (Emoctakin) (Granulocyte chemotactic protein 1) (GCP-1) (Monocyte-derived neutrophil chemotactic factor) (MDNCF) (Monocyte-derived neutrophil-activating peptide) (MONAP) (Neutrophil-activating protein 1) (NAP-1) (Protein 3-10C) (T-cell chemotactic factor) [Cleaved into: MDNCF-a (GCP/IL-8 protein IV) (IL8/NAP1 form I); Interleukin-8 ((Ala-IL-8)77) (GCP/IL-8 protein II) (IL-8(1-77)) (IL8/NAP1 form II) (MDNCF-b); IL-8(5-77); IL-8(6-77) ((Ser-IL-8)72) (GCP/IL-8 protein I) (IL8/NAP1 form III) (Lymphocyte-derived neutrophil-activating factor) (LYNAP) (MDNCF-c) (Neutrophil-activating factor) (NAF); IL-8(7-77) (GCP/IL-8 protein V) (IL8/NAP1 form IV); IL-8(8-77) (GCP/IL-8 protein VI) (IL8/NAP1 form V); IL-8(9-77) (GCP/IL-8 protein III) (IL8/NAP1 form VI)]
IL-10	P22301	IL10	3586	Interleukin-10 (IL-10) (Cytokine synthesis inhibitory factor) (CSIF)
IL-11	P20809	IL11	3589	Interleukin-11 (IL-11) (Adipogenesis inhibitory factor) (AGIF) (Oprelvekin)
IL-12p40	P29460	IL12B NKSF2	3593	Interleukin-12 subunit beta (IL-12B) (Cytotoxic lymphocyte maturation factor 40 kDa subunit) (CLMF p40) (IL-12 subunit p40) (NK cell stimulatory factor chain 2) (NKSF2)
IL-12p70	P29460/P29459	IL12A/IL12B	3592	Interleukin-12 subunit alpha (IL-12A) (Cytotoxic lymphocyte maturation factor 35 kDa subunit) (CLMF p35) (IL-12 subunit p35) (NK cell stimulatory factor chain 1) (NKSF1); Interleukin-12 subunit beta (IL-12B) (Cytotoxic lymphocyte maturation factor 40 kDa subunit) (CLMF p40) (IL-12 subunit p40) (NK cell stimulatory factor chain 2) (NKSF2)
IL-12p70	P29460/P29459	IL12A/IL12B	3593	Interleukin-12 subunit alpha (IL-12A) (Cytotoxic lymphocyte maturation factor 35 kDa subunit) (CLMF p35) (IL-12 subunit p35) (NK cell stimulatory factor chain 1) (NKSF1); Interleukin-12 subunit beta (IL-12B) (Cytotoxic lymphocyte maturation factor 40 kDa subunit) (CLMF p40) (IL-12 subunit p40) (NK cell stimulatory factor chain 2) (NKSF2)
IL-13	P35225	IL13 NC30	3596	Interleukin-13 (IL-13)
IL-15	P40933	IL15	3600	Interleukin-15 (IL-15)
IL-16	Q14005	IL16	3603	Pro-interleukin-16 [Cleaved into: Interleukin-16 (IL-16) (Lymphocyte chemoattractant factor) (LCF)]
IL-17	Q16552	IL17A CTLA8 IL17	3605	Interleukin-17A (IL-17) (IL-17A) (Cytotoxic T-lymphocyte-associated antigen 8) (CTLA-8)
MCP-1	P13500	CCL2 MCP1 SCYA2	6347	C-C motif chemokine 2 (HC11) (Monocyte chemoattractant protein 1) (Monocyte chemotactic and activating factor) (MCAF) (Monocyte chemotactic protein 1) (MCP-1) (Monocyte secretory protein JE) (Small-inducible cytokine A2)
MCSF	P09603	CSF1	1435	Macrophage colony-stimulating factor 1 (CSF-1) (M-CSF) (MCSF) (Lanimostim) [Cleaved into: Processed macrophage colony-stimulating factor 1]
MIG	Q07325	CXCL9 CMK MIG SCYB9	4283	C-X-C motif chemokine 9 (Gamma-interferon-induced monokine) (Monokine induced by interferon-gamma) (HuMIG) (MIG) (Small-inducible cytokine B9)
MIP-1a	P10147	CCL3 G0S19-1 MIP1A SCYA3	6348	C-C motif chemokine 3 (G0/G1 switch regulatory protein 19-1) (Macrophage inflammatory protein 1-alpha) (MIP-1-alpha) (PAT 464.1) (SIS-beta) (Small-inducible cytokine A3) (Tonsillar lymphocyte LD78 alpha protein) [Cleaved into: MIP-1-alpha(4-69) (LD78-alpha(4-69))]
MIP-1b	P13236	CCL4 LAG1 MIP1B SCYA4	6351	C-C motif chemokine 4 (G-26 T-lymphocyte-secreted protein) (HC21) (Lymphocyte activation gene 1 protein) (LAG-1) (MIP-1-beta(1-69)) (Macrophage inflammatory protein 1-beta) (MIP-1-beta) (PAT 744) (Protein H400) (SIS-gamma) (Small-inducible cytokine A4) (T-cell activation protein 2) (ACT-2) [Cleaved into: MIP-1-beta(3-69)]
MIP-1b	P13236	CCL4 LAG1 MIP1B SCYA4	388372	C-C motif chemokine 4 (G-26 T-lymphocyte-secreted protein) (HC21) (Lymphocyte activation gene 1 protein) (LAG-1) (MIP-1-beta(1-69)) (Macrophage inflammatory protein 1-beta) (MIP-1-beta) (PAT 744) (Protein H400) (SIS-gamma) (Small-inducible cytokine A4) (T-cell activation protein 2) (ACT-2) [Cleaved into: MIP-1-beta(3-69)]
